Date,LOCATION,PIT,Length.mm,Weight.g
2019-03-05,RRSAC2B,B0429,51,1.39
2019-03-05,RRSAC2B,B0446,51,1.47
2019-03-05,RRSAC2B,B0453,55,1.86
2019-03-05,RRSAC2B,B0455,52,1.7
2019-03-05,RRSAC2B,B0476,51,1.47
2019-03-05,RRSAC2B,B0494,52,1.52
2019-03-05,RRSAC2B,B04A0,51,1.61
2019-03-05,RRSAC2B,B04AD,51,1.34
2019-03-05,RRSAC2B,B04AE,55,1.7
2019-03-05,RRSAC2B,D6E78,54,1.96
2019-03-05,RRSAC2B,D6E85,NA,NA
2019-03-05,RRSAC2B,D6E9B,52,1.67
2019-03-05,RRSAC3,B03AA,45,0.98
2019-03-05,RRSAC3,B03B4,57,1.98
2019-03-05,RRSAC3,B03D1,48,1.17
2019-03-05,RRSAC3,B03D7,51,1.51
2019-03-05,RRSAC3,B03D8,54,1.62
2019-03-05,RRSAC3,B03D9,49,1.25
2019-03-05,RRSAC3,B03E8,55,1.68
2019-03-05,RRSAC3,B0406,NA,NA
2019-03-05,RRSAC3,B041D,55,1.92
2019-03-05,RRSAC3,B0423,50,1.32
2019-03-05,RRSAC3,B043D,51,1.5
2019-03-05,RRSAC3,B0448,54,1.63
2019-03-05,RRSAC3,B044A,50,1.27
2019-03-05,RRSAC3,B0456,46,1.2
2019-03-05,RRSAC3,B047E,NA,NA
2019-03-05,RRSAC3,B0481,49,1.32
2019-03-05,RRSAC3,B0488,52,1.44
2019-03-05,RRSAC3,B04B0,50,1.29
2019-03-05,RRSAC3,B04B1,44,0.94
2019-03-05,RRSAC3,B04B3,47,1.05
2019-03-05,RRSAC3,B04B7,54,1.58
2019-03-05,RRSAC3,B04C7,NA,NA
2019-03-05,RRSAC3,B04C8,55,1.7
2019-03-05,RRSAC3,B04CB,50,1.41
2019-03-05,RRSAC3,D6E80,51,1.5
2019-03-05,RRSAC3,D6EC1,50,1.35
2019-03-05,RRSAC3,D6ED1,53,1.58
2019-03-05,RRSAC4,B03A6,48,1.26
2019-03-05,RRSAC4,B03C4,50,1.23
2019-03-05,RRSAC4,B03D3,48,1.2
2019-03-05,RRSAC4,B03E2,51,1.35
2019-03-05,RRSAC4,B0408,50,1.49
2019-03-05,RRSAC4,B0418,50,1.18
2019-03-05,RRSAC4,B041F,47,1.1
2019-03-05,RRSAC4,B042A,49,1.23
2019-03-05,RRSAC4,B0434,50,1.28
2019-03-05,RRSAC4,B0437,53,1.52
2019-03-05,RRSAC4,B0443,50,1.33
2019-03-05,RRSAC4,B044B,48,1.13
2019-03-05,RRSAC4,B044D,50,1.39
2019-03-05,RRSAC4,B0462,49,1.27
2019-03-05,RRSAC4,B0474,53,1.44
2019-03-05,RRSAC4,B0487,53,1.68
2019-03-05,RRSAC4,B048B,50,1.38
2019-03-05,RRSAC4,B04B6,57,1.74
2019-03-05,RRSAC4,B04B8,NA,NA
